"","visit.x","visit.y"
"270",-122.788377,45.4604
"271",-122.788377,45.4604
"272",-122.788377,45.4604
"273",-122.788377,45.4604
"274",-122.788377,45.4604
"275",-122.788377,45.4604
"276",-122.788377,45.4604
"277",-122.788377,45.4604
"278",-122.788377,45.4604
"279",-122.788377,45.4604
"280",-122.788377,45.4604
"281",-122.788377,45.4604
"282",-96.7969879,32.7766642
"283",-74.0059728,40.7127753
"284",-82.5514869,35.5950581
"285",-74.4056612,40.0583238
"286",-79.9958864,40.4406248
"287",-95.712891,37.09024
"288",-79.9958864,40.4406248
"289",-100.973678,25.4383234
"290",-71.1097335,42.3736158
"291",-86.3077368,32.3792233
"292",-88.0398912,30.6953657
"293",-88.0398912,30.6953657
"294",-88.0398912,30.6953657
"295",-88.0956396,42.4772418
"296",-84.3879824,33.7489954
"297",-84.198579,34.0289259
"298",-84.3879824,33.7489954
"299",-79.7919754,36.0726354
"300",-72.878383,42.622664
"301",-77.0368707,38.9071923
"302",-83.9293952,42.6072552
"303",-83.9293952,42.6072552
"304",-71.0588801,42.3600825
"305",-71.0588801,42.3600825
"306",-71.0588801,42.3600825
"307",-99.3267702,38.8791783
"308",-76.8867008,40.2731911
"309",-76.8867008,40.2731911
"310",-76.8867008,40.2731911
"311",-76.8867008,40.2731911
"312",-76.8867008,40.2731911
"313",-76.8867008,40.2731911
"314",-76.8867008,40.2731911
"315",-76.8867008,40.2731911
"316",-76.8867008,40.2731911
"317",-76.8867008,40.2731911
"318",-76.8867008,40.2731911
"319",-76.8867008,40.2731911
"320",-71.0588801,42.3600825
"321",-71.0588801,42.3600825
"322",-71.0588801,42.3600825
"323",-71.0588801,42.3600825
"324",-71.0588801,42.3600825
"325",-71.0588801,42.3600825
"326",-71.0588801,42.3600825
"327",-71.0588801,42.3600825
"328",-71.0588801,42.3600825
"329",-71.0588801,42.3600825
"330",-71.0588801,42.3600825
"331",-71.0588801,42.3600825
"332",-71.0588801,42.3600825
"333",-71.0588801,42.3600825
"334",-80.244216,36.0998596
"335",-94.6557914,39.0277832
"336",-94.6557914,39.0277832
"337",-118.2436849,34.0522342
"338",-94.6858998,46.729553
"339",NA,NA
"340",-84.1190804,34.4212052
"341",-89.4012302,43.0730517
"342",-95.3761506,40.7667389
"343",-110.9747108,32.2226066
"344",-75.387693,39.9167783
"345",-110.9747108,32.2226066
"346",-118.2436849,34.0522342
"347",-118.2436849,34.0522342
"348",-118.2436849,34.0522342
"349",-83.0457538,42.331427
"350",-94.3413168,34.0378916
"351",-94.3413168,34.0378916
"352",-94.3413168,34.0378916
"353",-94.3413168,34.0378916
"354",-94.3413168,34.0378916
"355",-94.3413168,34.0378916
"356",-94.3413168,34.0378916
"357",-94.3413168,34.0378916
"358",-79.0192997,35.7595731
"359",-98.4936282,29.4241219
"360",-84.3879824,33.7489954
"361",-84.3879824,33.7489954
"362",-84.3879824,33.7489954
"363",-81.6943605,41.49932
"364",-81.6943605,41.49932
"365",-89.3985283,40.6331249
"366",-82.3525952,26.9620053
"367",-94.6858998,46.729553
"368",-110.9747108,32.2226066
"369",-110.9747108,32.2226066
"370",-71.0588801,42.3600825
"371",-71.1097335,42.3736158
"372",-95.712891,37.09024
"373",-77.0909809,38.8816208
"374",-77.0909809,38.8816208
"375",-77.0909809,38.8816208
"376",-77.0909809,38.8816208
"377",-77.0909809,38.8816208
"378",-77.0909809,38.8816208
"379",-77.0909809,38.8816208
"380",-77.0909809,38.8816208
"381",-77.0909809,38.8816208
"382",-77.0909809,38.8816208
"383",-77.0909809,38.8816208
"384",-77.0909809,38.8816208
"385",-77.0909809,38.8816208
"386",-77.0909809,38.8816208
"387",-77.0909809,38.8816208
"388",-77.0909809,38.8816208
"389",-77.0909809,38.8816208
"390",-77.0909809,38.8816208
"391",-77.0909809,38.8816208
"392",-77.0909809,38.8816208
"393",-76.6121893,39.2903848
"394",-76.6121893,39.2903848
"395",-76.6121893,39.2903848
"396",-75.1652215,39.9525839
"397",-75.1652215,39.9525839
"398",-95.992775,36.1539816
"399",-75.4007058,39.9868904
"400",-75.4007058,39.9868904
"401",-75.4007058,39.9868904
"402",-75.4007058,39.9868904
"403",-75.4007058,39.9868904
"404",-75.4007058,39.9868904
"405",-75.4007058,39.9868904
"406",-75.4007058,39.9868904
"407",-75.4007058,39.9868904
"408",-75.4007058,39.9868904
"409",-75.4007058,39.9868904
"410",-75.4007058,39.9868904
"411",-75.4007058,39.9868904
"412",-75.4007058,39.9868904
"413",-81.5157535,27.6648274
"414",-71.0588801,42.3600825
"415",-71.0588801,42.3600825
"416",-71.0588801,42.3600825
"417",-71.0588801,42.3600825
"418",-71.0588801,42.3600825
"419",-71.0588801,42.3600825
"420",-71.0588801,42.3600825
"421",-71.0588801,42.3600825
"422",-71.0588801,42.3600825
"423",-74.3984834,40.391774
"424",-122.4194155,37.7749295
"425",-4.6679959,55.3649698
"426",-4.6679959,55.3649698
"427",-4.6679959,55.3649698
"428",-4.6679959,55.3649698
"429",-4.6679959,55.3649698
"430",-4.6679959,55.3649698
