,0
90,"In the story of one Mexican-American woman’s life, we can see the whole tragic story of the US-Mexico border’s tran… https://t.co/0FIXxA0uwF"
91,ONLY ON ABC-7: #BorderPatrol tells me it is reviewing video allegedly showing one of its agents yelling at a group… https://t.co/GlQOEHk8fa
92,@boymomvb @magertje83 @AnnCoulter All of the fencing that's going up is just replacing the fence built under the Bu… https://t.co/ZmmeSm76eq
93,@thehill One mans attempt to show CNN and MSNBC IT IS POSSIBLE TO BE FAIR AND BALANCED....If you’re not a rabid Lef… https://t.co/bqu83AvPBf
94,@dolfer @EmmyA2 @realDonaldTrump Fence /wall /border/ immoral wall. IDGAF it IS going up. https://t.co/PJ9pZYvFMs
95,"@Chaparro916 @EmmyA2 @realDonaldTrump From YOUR own article! 🤣 for ""the Pentagon to transfer $1 billion towards the… https://t.co/hNvYmk6YF9"
96,@JackBox Hey Jack ! I only get a 1/2 break for lunch .. can you meet me at the Canadian border crossing and huck a… https://t.co/wKrNto9nuw
97,Pentagon Takes $1 Billion From Military Personnel Account To Build Border Fence
98,"If Congress put as much effort, money, concern and disgust into our BORDER CRISIS as they do the pointless Mueller… https://t.co/4wtuKH5nIM"
99,How many miles if BORDER FENCE could have been built to protect ANERICA Instead of wasting it on a WHICH HUNT? https://t.co/fHcK82SXuc
100,"@suhasinih And state is in hands of Pakistan and Indian forces must come out of the state now. right ??
I'm guessin… https://t.co/5D75TFOB9Q"
101,@WardDPatrick @ericswalwell I'm trying to figure out if @Acosta tweeting at the border fence or @ericswalwell askin… https://t.co/2qY4J3Irg4
102,"1800 Migrants Illegally Enter El Paso Sector in One Day
HOW ARE THEY ANLE TO CROSS??
Rebuild the fence in these are… https://t.co/s4mH4aWrZI"
103,EL PASO TX USA WHILE DRIVING A CUSTOMER TO THEIR LOCATION I NOTICED BORDER PATROL AGENTS WITH ABOUT 15 ILLEGAL MIGR… https://t.co/QyafzQuBYn
104,"@zaharias19 @J_A_Lewis86 @chuck_kopsho @charliekirk11 @TPUSA @IlhanMN The Travel ban from Muslim countries

And gue… https://t.co/FW8dPxTcDW"
105,@faithful_server @RieMcAz She could have actually accomplished something if she'd traveled to the border and dug a… https://t.co/Cln05263Ci
106,"dlvr Godfather Illegals Storm Mexico’s Southern Border, Jump Fence To Join Migrant Caravan https://t.co/c053VTeAXw  : votered  : votered"
107,"Border Patrol agents near El Paso earlier this week spotted a drone flying over the border fence 3 times one night,… https://t.co/uhLimGvOdN"
108,"BORDER CRISIS CAUGHT ON VIDEO: 300 ILLEGALS STOPPED BY ARMED MILITIA.

“United Constitutional Patriots” detained th… https://t.co/6vRozUrhUs"
109,@GracieUSA1 @mmpadellan Screaming from the sideline in North Korea! Stomping his feet when called out. Let alone st… https://t.co/hKlglRMLPa
110,"@RKJ65 Yes, 45’s cabinet has brazenly taken steps to say 🖕🏼 to Congress. They started building 57 mi of fence on th… https://t.co/kKSt6LEPPA"
111,@texasfreedom101 Florida needs a border fence.
112,@prestonoakley2 What we need to do is use that money and finish putting the fence and hiring more border patrol agents
113,"“We’ve treated border security, really for the last 35 years, as the fence of a static line . . . We should look at… https://t.co/Kg2vcUTCDs"
114,"@Pxrxcetxmol Time for a Zara e azb in Baluchistan.
I hope they fence the border soon."
115,"@naveed360 I doubt Pakistan has money to make1km fence let alone entire Iran border. 
May be Pakistan can threaten… https://t.co/GJhUSecuIB"
116,Migrant deaths by region since 2014 (the fence along the Greece-Turkey land border was built in 2013):… https://t.co/XfRqdmS4Hl
117,@AOC The people living in Gaza have their own territory and a border fence separates it from Israel. I haven't seen… https://t.co/zjfRLihGjR
118,"""United Constitutional Patriots” detained the group after watching them cross through a fence gap

https://t.co/gH6joMnYvH"
119,@darrengrimes_ Funny I thought the border was between NI and Eire. Why is it NI's (Britains) problem only. Theres two sides to every fence.
120,"@AndishaNasir “Gov of Pak has always given open offer to Afg. If you have any action of intelligence share with us,… https://t.co/LcrydCeNdD"
121,"That's for PRODUCTS

What about people?

If there are no passport controls on #Eire's northern border,
then #UK is… https://t.co/MGa4Yn2ps1"
122,"Huge Gap In Border Fence Near Yuma, AZ - April, 2019 https://t.co/1H7Axl43mY via @YouTube"
123,@mamendoza480 Yes pls @realDonaldTrump @MickMulvaneyOMB @GOPLeader Pls look at this border fence https://t.co/zMroHmEFtv
124,fact Kris Kobach and fellow border hawks join Army Corps in Arizona to see company's border fence proposal
125,@SenatorSinema @DHSgov How about building the border fence or is this solution of yours an anything but build it sc… https://t.co/4WgVvZVtB8
126,"@Natsecjeff @AnasMallick Area not far away from Iran.
Does pak have border fence with Iran??"
127,"&lt;IMPORTANT RT&gt; BORDER CRISIS CAUGHT ON VIDEO: 300 ILLEGALS STOPPED BY ARMED MILITIA
“United Constitutional Patriots… https://t.co/m5KeJpNRXk"
128,"If the government could 'build' those 5m houses just next to the 'completed' Kenya Somali Border Fence, and 'house'… https://t.co/G55FPRxbt5"
129,"The barbed-wire fence at the Greece-Macedonia border was erected in August 2015 to stop refugees...

 ""The wire had… https://t.co/LthQ9RaJLE"
130,"@GuyStark3 @mares_bobby25 @CurtMills @BartMcCoy5 Prior to that, he oversaw miles of “border fence replacement” whic… https://t.co/5UPJArOA3R"
131,@realDonaldTrump Mr President until the walis up Why not call on more military troops &amp; line them up across the bor… https://t.co/wRWrVC2C0i
132,@FarhanKVirk PTM Pushton Tahfuz Movement ni asal m ATM Afghani Tahafuz movement hai. Pak Army should accelerate the… https://t.co/8h0qLNubTk
133,My thoughts Kris Kobach and fellow border hawks join Army Corps in Arizona to see company's border fence proposal
134,"Alexandria... 
When you cross a border illegally. (Meaning you didn't present your passport at customs... you jumpe… https://t.co/EqLO1B4vlz"
135,"@latifwaxirii @fawadchaudhry Jub tek kpk or balochistan ka border fence nahi hota yeh sub chalta rhy ga ,"
136,"Democratic Arizona Senator Kyrsten Sinema Calls on Congress to ‘Secure the Border’ 
-https://t.co/QmZmk5Zgqn
- Nati… https://t.co/hnYG2e7gT3"
137,@anwaar_kakar @OfficialDGISPR @jam_kamal Ask the govt to fence the iran border
138,When will pakistan fence that iran border? #Ormara #Balochistan
139,@Ranaseesnsays Not again. We've been through alot. Fence that iran border i think
140,"For those who don’t know San Diego, Imperial Beach is where the border fence runs into the Pacific. Border Patrol s… https://t.co/lNqfH7Sy0y"
141,"Border Crisis Caught on Video: 300 Illegals Stopped By Armed Militia.

""United Constitutional Patriots” detained th… https://t.co/uuRbmzd3B3"
142,@realDonaldTrump Small sections of border fence are being repaired using funds initially appropriated by Obama admi… https://t.co/6GWIXJVk4c
143,"@realDonaldTrump Donald, illegal immigrants going to the US border, we must warn that they will not be admitted to… https://t.co/dT1wHL6Evu"
