,0
97,@LindseyGrahamSC @Rockguy65 @realDonaldTrump lets be specific there is no chaos on the california border it is texa… https://t.co/XdVr801EUe
98,"Q: #Immigration, border wall, etc. 
#YourLegislators
#MNLeg"
99,"@IlhanMN Like the Trump tax cut, building the border wall, securing the border, lowest unemployment, wages are incr… https://t.co/PDBWHRj7It"
100,"@AOC Then Get Your Party to STOP BEATING THE DEAD DOG 
And Get to Work - Like SECURING BORDER - PROTECTING AMERICAN… https://t.co/XD77IOLBcS"
101,@veronicabaty @ritaWeWl @KAISON8 @yelgeb @yojimbo_2000 @SpeakerPelosi @POTUS doesn’t want a full border wall! He ne… https://t.co/hY5OSXAhIw
102,@LionCross1 @nashvillepastor @MrsPerrin @LifeNewsHQ @PPFA rump and the GOP had control of Congress for two years an… https://t.co/ck1XSpyCeM
103,@Zaphods50 @independentforb @CNN Don’t get out much do you? There’s already a wall along busy populated sections of… https://t.co/4h0xrcW66m
104,@RealJack I say our votes are attached to our tax bill and we pay for what we vote for! If one votes in favour of s… https://t.co/1cOSHBXRF6
105,"@Treacherouslogc @RightHookUSA @realDonaldTrump Build the wall, deport the aliens in accordance with the law, ignor… https://t.co/PyoeVyVrWc"
106,@stevetefft @RightHookUSA Kinda hard to care about border security when the guy who promised to do has failed spect… https://t.co/WfTrqpaFMc
107,"Technically, Obama fined those who couldn't afford Obamacare...but how about you pay for what you vote for?
You vot… https://t.co/48pSAC3hrZ"
108,...then they got to a part of our yard where the top part of the wall/border is replaced with a gate-like thing. Ju… https://t.co/aKH2RKAZkC
109,"This is so infuriating! 

“The group has repeatedly appeared in local news stories in recent weeks, expressing supp… https://t.co/qggtcXGfcH"
110,@WhiteHouse @trumps_feed And Trump wants the taxpayers to spend how much on the border wall?
111,@liberty_podcast @rightingpodcast @bigleaguepol He had to get money from Congress to build the wall. They wouldn’t… https://t.co/w4oOrp0q9G
112,$310 million in California Military Construction May Be Safe from Border Wall Cuts
113,"@AnnCoulter Nay vote on Bret for the court, nay vote on the 5.7 B for border wall. Yea vote to block Trumps NE. Ant… https://t.co/B7va3igM76"
114,"4-18-19
https://t.co/MBmRxGuDel"
115,"@LionelMedia Yes. Cute idea busing illegals to sanctuary states/cities, except, that encourages more ppl to storm t… https://t.co/UBqawMizj8"
116,Trump: 'I could have fired everyone' on Mueller team if I wanted to - The Hill then the truth wouldn’t come out! Th… https://t.co/kdcmu67O24
117,@PattysYorkie He wanted his border wall or he would allow the shutdown to persist in perpetuity. Pelosi forced his… https://t.co/YWGzEFLfh3
118,GOP congressmen lied and claimed they watched wall construction at the 'border' https://t.co/OIUZ2vCJIY
119,"@BreitbartNews Close the border.  Build the wall.  Install motion sensing auto turrets. 
O and throw that murderer… https://t.co/8ruogxFrPS"
120,New Border Wall Across Mexican Gray Wolf Corridor https://t.co/L4zOrlxROt via @YouTube
121,"@SenSchumer @realDonaldTrump Sen, American ppl no longer interestd in Mueller rpt  I'm from your home state NYC -wo… https://t.co/5vZXv8IynM"
122,"Thought provoked:  
Of course those who have to build walls to keep people IN hate walls which make that clear.    
https://t.co/dr48jvIzm3"
123,Stand with @MichaelBennet and demand the contents of the Mueller investigation are released to the public! https://t.co/mE3tFuiDVB
124,"Ok - so the Bull Shit Russia story is finally over, done, finished, K-put. 

Can we finally focus on the crisis on… https://t.co/flRC5QGZzc"
125,Wife starting Game of Thrones. Literally gave her a map with 2-3 notes of where the hell people are located and com… https://t.co/TuUDUTVaPP
126,"""Effectively, Trump’s wall has already been built — but on Mexican soil."" A Honduran asylum-seeker was brutally mur… https://t.co/eb7VO3rFI6"
127,The hypocrisy in the fact that the church I used to attend going on missions to Mexico twice a year are the same pe… https://t.co/SM026x7lRJ
128,Trump could get his wall very easy. Put a tax on everything going into Mexico and everything coming out of Mexico.… https://t.co/2aeiFdK3KA
129,"@Rep_Hunter makes nighttime crossing of  ""grand border wall in Yuma, Arizona."" But he doesn't touch Mexican soil.… https://t.co/YotePSAcQ1"
130,"@Rep_Hunter makes nighttime crossing of  ""grand border wall in Yuma, Arizona."" But he doesn't touch Mexican soil.… https://t.co/V13KSRJjBW"
131,Stand with @MichaelBennet and demand the contents of the Mueller investigation are released to the public! https://t.co/Tn4tOlz7iD
132,@MuriahTheWolf @The_Tile_Guru @hoosierNdixie @RepJerryNadler @AOC @HouseJudiciary You guys are upset about ~30 mill… https://t.co/iZOg15RO0l
133,Remember that ICE report I mentioned in my video? A case like this would count homicide each time they deport him.… https://t.co/4K1qohlKq4
134,Stand with @MichaelBennet and demand the contents of the Mueller investigation are released to the public! https://t.co/haQ7E4DZ03
135,"Man arrested at a ""Border Crossing"", for $1 M in Meth &amp; Fentanyl.
I wonder how much #DRUGS are being smuggled acros… https://t.co/yetr6hhK4E"
136,Stand with @MichaelBennet and demand the contents of the Mueller investigation are released to the public! https://t.co/OwaMOU4sMT
137,"Let’s see who they are,amputate the evil,hold those that want to fight for THEIR American country,the rest stabiliz… https://t.co/Itp10sWPvq"
138,@parscale @GrrrGraphics @realDonaldTrump Unless he announces real action on full wall construction and an end to th… https://t.co/SGryOHiulY
139,I.P.O. Day for Pinterest and Zoom Ends With Shares Sharply Higher https://t.co/tyhWbvMS95
140,@jmcnallypt @elfie111 @DanaBashCNN @LeaderHoyer Please tell me again why Republican Will Hurd of TX voted *against*… https://t.co/chxiKsj3sX
141,‘Borderland Citizenship’ Could Bring Justice to Both Sides of Trump’s Wall via @thenation https://t.co/ZA3rS1hGj1
142,"Full report: 
Stand with @MichaelBennet and demand the contents of the Mueller investigation are released to the pu… https://t.co/48cGHvbtBW"
143,"@KamalaHarris If you DEM's would have funded the wall sooner (decades sooner), they wouldn't be able to keep coming… https://t.co/azofjQG69S"
144,I'm so bummed about this border wall!
145,"@getbusy5 @willsommer Ah, boomers pretending like they know how crime happens. Another 4% of Mexican border having… https://t.co/H1Yxwu7xr8"
146,@KLack33 @scott4pendleton He did!  I love his road trip videos!  He won the largest counties in Texas.  Lost with a… https://t.co/pM2DEkv9qj
147,@mrgenius7997 @border_solution @LordDwa @SLRACT What do you mean THAT peace wall. You’ve referred to it as splittin… https://t.co/QDFHZ074f4
148,"They’re saying the obstructionists, how do we have a very strong trade policies where we have a major border wall,… https://t.co/awGldtGh0Z"
149,"@realDonaldTrump @RealJamesWoods @McAllisterDen This is my idea for a border wall. Sneak into the USA, you’re bused… https://t.co/qUTfv3Sytg"
150,@LukeTBall @mattgaetz @realDonaldTrump https://t.co/w3DG6NPDKY
151,"@Amethyst_1690 @border_solution @LordDwa @SLRACT well either way why don't they take down that peace wall , nationa… https://t.co/p0g7f6DnT1"
152,GOP congressmen pretend they watched wall construction at the 'border' https://t.co/lTMWOLyu9H
153,"@cnnpost @RepMattGaetz a bunch of his ""at the border"" tweets were lies.  (he was at a fence manufacturer 100 miles… https://t.co/7yI77Rx1UZ"
154,@mrgenius7997 @border_solution @LordDwa @SLRACT What did I just say? West Belfast and East Belfast are at least 1-2… https://t.co/PXcLJ4yUUp
155,"Don't forget, border crisis, invading hordes of beggars, massive wall, NoKo, gotta govern, boss. https://t.co/XpVj9SkiJL"
156,@border_solution @Amethyst_1690 @LordDwa @SLRACT i don't know the peace wall thing or whatever they call it
157,"@crypt0snews Are we at odds with Cuba again? If so, why? I can’t even send $5k to another state to pay bank-less co… https://t.co/FG2IuB9Hmx"
158,@realDonaldTrump @RealJamesWoods @SaraCarterDC @McAllisterDen This is my idea for a wall on the border. Make the co… https://t.co/DbbldLNJNg
159,Got to build the wall... https://t.co/8LeOO6kU6D
160,@RepMattGaetz @realDonaldTrump https://t.co/w3DG6NPDKY
161,Goody goody gumdrops now shut down the Border build the wall cut all ties with Mexico and get the f****** job done https://t.co/TkH81gz6Cq
162,@fall_babylon @RepSeanDuffy I agree. We can’t imagine what it’s like to flee a country that’s war torn or economic… https://t.co/y5PxKpWUf2
163,Support a bill that would keep the border wall out of Wilderness areas and National Wildlife Refuges along the sout… https://t.co/CtlJ09G8AA
164,"@ejmontini @azcentral Fact: If we had more Republicans like Martha McSally, supporting the president, his wall woul… https://t.co/VW2DVWdYli"
165,@c0lettea @_bexology A wall is barbaric. Refusing asylum seekers at the border is barbaric. Separating children fro… https://t.co/k8mR8MzBse
166,The fact that this is the what they choose to attack Trump on is very telling about their lack of ability to handle… https://t.co/OqsfbIyv0Q
167,@realDonaldTrump @TuckerCarlson Just think of the $32 million dollars of our money you could have spent it on in a… https://t.co/UWXRrfM3lE
168,"Can someone please formulate how many miles of border wall, 35 million would build us??? 
What imbecile actually be… https://t.co/wJKCMklocI"
169,The huduma no. is what the Mexican border wall is to Trump.Has to be achieved by all necessary means.Trump shut the… https://t.co/qU1QLMs4x7
170,"@GOP @Jim_Jordan Has NEVER upheld one tiny bit of the 
OATH OF OFFICE —
#ImpeachBarrNow #ImpeachmentHearingsNOW 

O… https://t.co/RB5VW5kUeb"
171,@seanhannity Now Schumer and Pelosi maybe you can start doing your jobs.                         get immigration do… https://t.co/5AXkujmng9
172,"@AnitaBellows12 @hazell_steven @chakrabortty Well, in not sure I'd argue Hadrian's wall was built by the rich! It w… https://t.co/bzjYCQWO1e"
173,@GOP #CreepyTrump @realDonaldTrump and self-dealing @GOP controlled our government for Two Years and accomplished n… https://t.co/1aDi5Ltbbk
174,"#FoxNews #POTUS #therealdonaldtrump

Jus that quick (silence)

1) RBG
2)Catholic kids
3)Jussie Smollett
4)Notre Dame
5)Border wall"
175,"The border wall in Yuma, AZ. Wow, yes, we need a wall! https://t.co/88zg2nVlL3"
176,@dbongino The Dems are making us focus on the wrong things.  POTUS needs to focus on Border wall and Healthcare ref… https://t.co/ryFiCUl3t1
177,And then maybe show him the statement from the Marine Commandant says deploying trips and resources from the milita… https://t.co/yoHTfwIRDO
178,"Hunter “I’m 15 meters from Mexico.” He then walked over the border.

@Rep_Hunter spokesperson should show his own b… https://t.co/4HCIPAUg2l"
179,"AZ company says it can build border wall ""faster, cheaper'"
180,@realDonaldTrump @dbongino Good maybe now you can start running the country again start making things happen for th… https://t.co/4UOf93Bim4
181,@Hili75303704 @NBCNightlyNews @kasie @realDonaldTrump https://t.co/fvM5XI18Jr
182,@Barbandnick1 @krassenstein @realDonaldTrump @JesseBWatters That portion of the wall is REPLACEMENT WALL authorized… https://t.co/i9bROh2Qfy
183,''Hating people because of their skin color is wrong and it doesn't matter which color does the hating''. - Muhamma… https://t.co/9A4ZBvBad2
184,"@realDonaldTrump @marthamaccallum @FoxNews Liberals don’t get it.  Nobody cares if Trump lied, cheated and colluded… https://t.co/dTBj5aCCBy"
