,0
101,"Say ""Hola"" to Maria from #Mexico. She is the artist behind the new climbing wall paint in Gilwell Park. Always smil… https://t.co/cnaf6nxrcQ"
102,"RT RogueNASA: The rise of the cost of insulin is becoming a huge problem.

But we need $25 billion for a wall that… https://t.co/xWGb3WsIS6"
103,@viaSimonRomero @nytimes We better build a wall quick so this behavior of militia having to detain foreign invaders… https://t.co/el7FrOnhCS
104,The Democrats are to blame... Mexico needs a wall. This is a witch hunt! Totally illegal!
105,@inamdar_brian @CuomoPrimeTime @CNN @ChrisCuomo Better Taxes? What the fuck does that mean? And the wall.... The on… https://t.co/oJqCZ4ST49
106,Cellist Yo-Yo Ma plays music in US-Mexico border in protest of Trump wall https://t.co/cbYsGwlHWN
107,"The Shadow of the Wall underscores the unintended social consequences of increased border enforcement, immigrant cr… https://t.co/vrQKaki9vo"
108,"From Trump’s point of view, the strategy hasn’t backfired. On the contrary, it has achieved its main purpose of dem… https://t.co/ejDW5m6aKi"
109,@CuomoPrimeTime @ChrisCuomo Alternative Facts -Fake News -Good people on both sides - He was Joking -Mexico will bu… https://t.co/08bK0J2HNd
110,There will be a lot more of this if the wall is not built. Good citizens are tired of the liberal organizations try… https://t.co/wjPhO3h079
111,I'm back Fandom Mence. I have been at the most secure area of the current wall at the Mexico boarder. Still no sign of trouble.
112,"While Trump is pretending to build a wall along the border with Mexico, He should build the Wall around all the USA… https://t.co/IgoPntwsih"
113,@Mikeque8 @mmpadellan @realDonaldTrump @TuckerCarlson And what about... Trump literally selling nuclear stuff to th… https://t.co/7IHIsmG7H6
114,MEXICO IS PAYING FOR THE WALL through the new….
115,@c0lettea a wall that blocks the connection between Mexico and USA wont stop Chinese from shipping in the drugs tho
116,@Kgaugelo_m2p @Eusebius @EFFSouthAfrica @Radio702 @Julius_S_Malema Like: build a wall and get Mexico to pay?
117,#Hist416 “The Shadow of the Wall” seeks to transcend the world of academia and be relevant politically also. They b… https://t.co/BJv9UCoDz8
118,"@realDonaldTrump Poor America under a loose cannon named DJ Trump.
Jim Mattis' resignation was a stunning rejection… https://t.co/tZ2m4ofMQF"
119,This woman is advocating for the wall because her daughter died from Fentanyl “that was trafficked to the U.S from… https://t.co/HtCiuRwLb8
120,A first look at the controversial US–Mexico Border Wall Project https://t.co/7cldQwKBLT
121,@awards_watch Wall of Mexico west coast preem in Newport Beach on the 25th cast will all be there. You should come.
122,Why not ship fentanyl to China drug dealers and flood their fuckin continent with poison? Do you think the Chin giv… https://t.co/pll1UcHkfE
123,"No Wall They Can Build, Episode #3: Mexico, Part I – The South https://t.co/uAKKYasGa5"
124,My answer to What could Trump offer the Democrats that would entice them to give him 5 billion dollars for a border… https://t.co/n5s9gxkwGM
125,''Prejudice is the child of ignorance'' - William Hazlitt the ''I will build a great great wall on our southern bor… https://t.co/ypfAFyHKBo
126,"No Wall They Can Build, Episode #3: Mexico, Part I – The South View and Comment Here: https://t.co/jjbUsFzKKQ https://t.co/f5pLPeR5Su"
127,"@Cernovich Let's hold off on that for a bit. After all, there's still millions of people here that actually voted f… https://t.co/URJMD4BAli"
128,@SpeakerPelosi Your a fine one to talk you work for the tax payers look what you been wasting money on what would y… https://t.co/euccTr7pZn
129,@tedlieu @realDonaldTrump @tedlieu he’s cutting pre-existing conditions coverage because @realDonaldTrump is a lyin… https://t.co/9uWV3IPhDS
130,@mikescriburner Bitch... HE THINKS GUATEMALA AMD MEXICO ARE THE SAME... he’ll throw your ass over that wall and let you sort it out.
131,@BeeFlorentino1 @MayraMM @realDonaldTrump @JesseBWatters North Korea denuclearization? Trump provided Kim with 2 PR… https://t.co/1ZLwLygs6j
132,"@TheantiantiZio1 @LomaahhMore @gregg_mashberg If you ever see anything linking ""Ferguson"" with Palestinians, this i… https://t.co/lo2KfRV3uB"
133,Rustic Doors | Merida | Mexico | Home Decor | Wall Art | Fine Art Photography | Print | Matted… https://t.co/WljaytdLBm
134,I see nothing wrong with what they're doing by helping the border patrol out. This is why we need a wall or what Hu… https://t.co/s6VyGMOThf
135,@missjulialee @immigrantdfndr @_untamed_kat @BotulismHoney @GhostJigglyPuff @thomaspearc3120 @PatHas34Lives… https://t.co/bjskLg3PFH
136,"militia detained nearly 300 people near Sunland Park, New Mexico. ""This group was so huge we won't have an accurate… https://t.co/NAyqkEnLkG"
137,"@johnLadouceu56 @DonaldJTrumpJr @ezralevant Trump hasn’t done anything positive for America. The TaxScam, Mexico pa… https://t.co/LRYF7Gn0nP"
138,New Mexico did not want a wall - now look - a big change of perspective - https://t.co/HGRp0eIzD5
139,@Helenwheels18 @DonaldJTrumpJr Where’s the “beautiful” healthcare trump promised? When’s Mexico paying for the wall… https://t.co/oxANWXncwD
140,"Mexico, Mexican collision?! #Agenda21 #agenda2030 #tcot #sgp #TeaParty #Mexico #Tijuana #border #maga #NEWS #wall… https://t.co/MQuyz4Y9Ji"
141,@RockyMtnMSgt @FAIRImmigration @BreitbartNews @JxhnBinder This just in: The WALL will leave your property on the Me… https://t.co/NsZOeewifl
142,"RT RogueNASA: The rise of the cost of insulin is becoming a huge problem.

But we need $25 billion for a wall that… https://t.co/HxkMeDRZF1"
143,"@KellyannePolls @2VNews Repeal replace Obamacare. 
The Wall that Mexico will pay for
Infrastructure plan
Denucleari… https://t.co/6xixLjmBdo"
144,"The rise of the cost of insulin is becoming a huge problem.

But we need $25 billion for a wall that Trump said Mex… https://t.co/AtCiNZad2m"
145,@NRCC Why is this even a question?  Mexico pays for the wall.  The president wouldn't lie.
146,@Steve29103676 @ChatByCC @realDonaldTrump WHAT has he done for America?? A tax scam for the rich. Has he defeated I… https://t.co/IWTkbTRv4v
147,"@DavidAFrench What are the top 3 worst lies? He paid a hooker? Mexico will pay for the wall? And don't say ""It's ju… https://t.co/4hQ3K0qiLt"
