,0
86,Cannabis Watch: Investing in cannabis companies can threaten federal employees’ security clearances… https://t.co/haOmn8s9yK
87,Cannabis Watch: Investing in cannabis companies can threaten federal employees’ security clearances… https://t.co/qLpyGmbP56
88,"Bill Shorten's AWU 'sold out' workers for $300,000. Does Australia relay want a PM who has sold out employees when… https://t.co/LZdqQJQ54e"
89,"$TSLA $FB $APHA $ACB $CGC $GWPH:

Cannabis Watch: Investing in cannabis companies can threaten federal employees’ …… https://t.co/TC2PVRkbFe"
90,"@Susan_Hennessey I enjoy the “well wasn’t that awful!  However, let’s just forget about -corruption/lies/abuse of p… https://t.co/yu2MqCY0Ep"
91,Fewer small businesses expected to hire new employees in 2019 https://t.co/WaTKhFb07c by Bcheungz https://t.co/gukVszSVXd
92,@alimhaider @pspoole Remember: China hacked the OMB and gained the personal information of 20 million American fede… https://t.co/FRPIarMe0C
93,"@GOP TRUST BUY VERIFY... Trump obstruction of justice happened over 10 separate times, that’s 9 MORE than Nixon. He… https://t.co/HVtG2yXqUx"
94,"@davidhogg111 @CarlHigbie Except police are not federal government employees, but don't let facts matter in your story of deception."
95,"@BrotherDoofus Obama Opened up deepwater oil drilling, even after the BP disaster.
Mandated the Insider Threat Prog… https://t.co/QGz4lVmil0"
96,@MichaelWestBiz Next time there is a Senate estimates meeting I hope a number of DAWR employees are given a grillin… https://t.co/F8In3sijN6
97,Federal employees who provide protection for Americans deserve better #1u https://t.co/qY8idr4mvf
98,"@realDonaldTrump Those dishonest Federal employees who abuse their power &amp; believe they are untouchable, they shoul… https://t.co/QfAS9jfaoW"
99,Better insurance solutions for federal employees &amp; members of the US Armed Forces? #TeamLallyRadioShow interviews B… https://t.co/sd8na6ZjlW
100,Fewer small businesses expected to hire new employees in 2019 https://t.co/xgxZEqyy0n by @Bcheungz https://t.co/B0A7AMfxpC
101,"@jonmunce Yes. Then-Senator Obama's platform included: ""National Health Insurance Exchange. Through this exchange,… https://t.co/44WKInvSoh"
102,"@GovMikeHuckabee Sarah is a disgrace to young women. She makes $170,000 a year and what does she do for it? You hav… https://t.co/VZpIEwOevq"
103,"@GOVTWINE I didn't see anything about compensating the 800K
federal employees for @sPANKIESIQ45s BS national emergency. 🤔🤮🤪🤡"
