,0
150,"@DavidSharp84 @KG_eternally @JohnJJohnson20 @MadLibTheology @EvanPlatinum She’s started outright lying. See, e.g.,… https://t.co/wuRHfGAvth"
151,Border Chaos As Private Militia Engages 300 Migrants https://t.co/RO3w1laYMt
152,United Constitutional Patriots Group Catches Migrant Caravan Illegally Invading U.S. In New Mexico - https://t.co/dP1YMphbTu
153,United Constitutional Patriots Group Catches Migrant Caravan Illegally Invading U.S. In New Mexico https://t.co/YYuuYNaX2n
154,"Mexico COULD stop them, if they wanted to—-&gt;Illegals Storm Mexico's Southern Border, Jump Fence To Join Migrant Car… https://t.co/2l50Bz5oHo"
155,How does a Central American migrant caravan form? (from @AP) https://t.co/p74NiSUjqx
156,How Does a Central American Migrant Caravan Form? https://t.co/eA1Dq81ua6
157,"Illegals Storm Mexico's Southern Border, Jump Fence To Join Migrant Caravan https://t.co/Tzuv92sMGO via @PoliticsIsDirty"
158,"Help Me, Cher! There’s a Honduran Caravan Migrant Stuck in My Driveway! 

https://t.co/GmJDDxw5Z1 https://t.co/UM4UZf4Twi"
159,"UNITED CONSTITUTIONAL PATRIOTS GROUP CATCHES MIGRANT CARAVAN ILLEGALLY INVADING U.S. IN NEW MEXICO.

The group “det… https://t.co/gew4cWGJVu"
160,"https://t.co/WiPRQUJkQF
Time to line our border with our troops. This is insane."
161,United Constitutional Patriots Group Catches Migrant Caravan Illegally Invading U.S. In New Mexico… https://t.co/Z5w7rGi5SO
162,How does a Central American migrant caravan form? (from @AP) https://t.co/eLk4X7PEyx
163,"United Constitutional Patriots Group Catches Migrant Caravan Illegally Invading U.S. In New Mexico
 https://t.co/QCHUbRPIlM"
164,United Constitutional Patriots Group Catches Migrant Caravan Illegally Invading U.S. In New Mexico https://t.co/lJWd0BmA3W
165,Border Chaos As Private Militia Engages 300 Migrants https://t.co/dpw7zsbxHb
166,Border Chaos As Private Militia Engages 300 Migrants https://t.co/HPwWytPjWX #Illegals #StopIllegalImmigration #Crisis #Trump2020 #2A
167,"Help Me, Cher! There’s a Honduran Caravan Migrant Stuck in My Driveway! https://t.co/9DZL45uqTQ Love our President… https://t.co/bZGU1Xp65R"
168,Moto! You can see they’re all using children as “golden tickets” to get into the US thanks to the horrendous bipart… https://t.co/nA25ukHXlJ
169,How does a Central American migrant caravan form? (from @AP) By ⁦@verzamex⁩ &amp; Marcos Aleman https://t.co/RUb2CDinnH
170,https://t.co/zByQ6jL2z8 https://t.co/J2OolZFiRr
171,Police halt migrant caravan moving north in southern Mexico | Watch News Videos Online https://t.co/BTQj3dx1BP
172,United Constitutional Patriots Group Catches Migrant Caravan Illegally Invading U.S. In New Mexico https://t.co/B33FqzUIz6
173,New video! I went to Mexico and embedded with the migrant caravan. Check it out and see the truth about what is goi… https://t.co/uXyJ6yN82R
174,United Constitutional Patriots Group Catches Migrant Caravan Illegally Invading U.S. In New 🇲🇽  https://t.co/QHZ576Iscf
175,🇲🇽🔙🇺🇸 why not push them back into Mexico? Why bring criminal inside USA? Truck them back &amp; dump them off on the oth… https://t.co/VquBL27aCf
176,"Just like the Native American Indians....they are being lied to....breaks my heart.

United Constitutional Patriots… https://t.co/nQTmxTxJaW"
177,"National News How does a Central American migrant caravan form? Published on April 19, 2019 | Updated 7:09 a․ m․ AP… https://t.co/qNIWJKhbnL"
178,How does a Central American migrant caravan form? (from @AP) https://t.co/fsg4MM59JF
179,"United Constitutional Patriots Group Catches #Migrant Caravan Illegally Invading U.S. In New Mexico
https://t.co/txkAFFocbq"
180,United Constitutional Patriots Group Catches Migrant Caravan Illegally Invading U.S. In New Mexico https://t.co/In2WknqGuk
181,The unseen driver behind the migrant caravan: climate change https://t.co/6bI9iL0lvw
182,United Constitutional Patriots Group Catches Migrant Caravan Illegally Invading U.S. In New Mexico… https://t.co/7hzY123K05
183,@portlandon @jaketapper Even the conservative/libertarian Cato Institute put the lie to that stupidity: https://t.co/ZryDLwmCSj
184,"""We are dying of hunger in Honduras"": New migrant caravan proceeds to US - https://t.co/1NBgGp9oZu
Hondurans are ma… https://t.co/TNQd5e8rqi"
185,United Constitutional Patriots Group Catches Migrant Caravan Illegally Invading U.S. In New Mexico https://t.co/lHw2J5g4CJ
186,United Constitutional Patriots Group Catches Migrant Caravan Illegally Invading U.S. In New Mexico… https://t.co/ZoSReZhdgf
187,United Constitutional Patriots Group Catches Migrant Caravan Illegally Invading U.S. In New Mexico… https://t.co/XI0vMxH6dW
188,United Constitutional Patriots Group Catches Migrant Caravan Illegally Invading U.S. In New Mexico https://t.co/apvx9SNlR3
189,How does a Central American migrant caravan form? (from @AP) https://t.co/0jGgspmqRs
190,United Constitutional Patriots Group Catches Migrant Caravan Illegally Invading U.S. In New Mexico https://t.co/UXLzDJFvE1
191,"How does a Central American migrant caravan form? :: https://t.co/7jJayBHPxg https://t.co/wz7kbKfCoB Food, water, b… https://t.co/BrvceNuVxB"
192,United Constitutional Patriots Group Catches Migrant Caravan Illegally Invading U.S. In New Mexico… https://t.co/vtUgzZrV3D
193,"United Constitutional Patriots Group Catches Migrant Caravan Illegally Invading U.S. In New Mexico - The group ""det… https://t.co/0EwnTvYj93"
194,FOX BIZ NEWS: How does a Central American migrant caravan form? https://t.co/eT1sfFqx4C
195,She also spoke with @BuzzFeedNews about why she chose to flee Honduras before her passing https://t.co/fVtyAM5x0w
196,@TuckerCarlson  your debate with the migrant caravan supporter was perfectly exectuted. im 3 months late but gosh d… https://t.co/AD7dQbThRY
197,FOX BIZ NEWS: How does a Central American migrant caravan form?
198,How does a Central American migrant caravan form? https://t.co/X164saf4jW https://t.co/tFmqwLJFDG
199,"It is estimated that 150 million to 300 million climate refugees are set to be displaced worldwide by 2050. 

In th… https://t.co/S7H01dgrGC"
200,"United Constitutional Patriots Group Catches Migrant Caravan Illegally Invading U.S. In New Mexico,https://t.co/rxUEXIzBl8"
201,Honduras: New migrant caravan begins journey https://t.co/f6ZNDubxbh via @YouTube  #migrantcaeravan #migrantcrisis… https://t.co/IekEpN0zfE
202,How does a Central American migrant caravan form? https://t.co/XACzXRoJFq #politics
203,New migrant caravan receives cooler welcome in Mexico https://t.co/VM1kLtcFet
204,How does a Central American migrant caravan form? https://t.co/7KVdCHlICs
205,“Illegal Migrants have stormed Mexico’s southern border and burst through the fence to join the latest migrant cara… https://t.co/kLJ5VtJeac
206,"How does a Central American migrant caravan form?
 https://t.co/skWFgQ9OoW"
207,"@TheGreatRoh @Styx666Official For example, she said Ken Cuccinelli, the guy who wrote this https://t.co/OR1OcJEsvI… https://t.co/HeXzQTZpsJ"
208,"Help Me, Cher! There’s a Honduran Caravan Migrant Stuck in My Driveway! https://t.co/FgFyaEPqc6"
209,How does a Central American migrant caravan form? https://t.co/gTnyQZvjnv
210,via @PerilOfAfrica How does a Central American migrant caravan form? https://t.co/Xw9VIXwZYm https://t.co/6Lqyv1BZ4o
211,"#Caravans

https://t.co/mwDPUqUAWW"
212,How does a Central American migrant caravan form? https://t.co/zxIkNQsBry
213,How does a Central American migrant caravan form? https://t.co/c51rknG9jV
214,How does a Central American migrant caravan form? - ABC News - https://t.co/Eft49khbrm via @ABC News
215,How does a Central American migrant caravan form? (from @AP) https://t.co/TRh3p0ZhMF
216,"""How Does a Central American Migrant Caravan Form?"" by THE ASSOCIATED PRESS via NYT https://t.co/vqlcT4G2i8"
217,How does a Central American migrant caravan form? https://t.co/eiAfpzNMSB #Technology
218,"Mexico, Mexican collision?! #Agenda21 #agenda2030 #tcot #sgp #TeaParty #Mexico #Tijuana #border #maga #NEWS #wall… https://t.co/MQuyz4Y9Ji"
219,How Does a Central American Migrant Caravan Form? vía #NYT https://t.co/UTnczxEvGo
220,How does a Central American migrant caravan form? $SPZR #SPZR #Technology #Socialmedia #Onlinemedia https://t.co/vfu8yrMW6B
221,How does a Central American migrant caravan form? $SPZR #SPZR #Technology #Socialmedia #Onlinemedia https://t.co/3bwYBeRQJ4
222,"Ch’orti’ #Maya, Canan,“In past years,it rained on time..but there’s no longer any {#weather}pattern.”A 1/3of employ… https://t.co/KwhCqVG3SO"
223,@Whiskie2 @StefanMolyneux It's genuinely hard to believe that you did not hear about this shit.… https://t.co/UHh4pXUykF
224,The migrant ‘caravan’ that no affair. Prior to meeting. They don’t exist). They are saying. Truly bad as somebody who want
225,"20,000 Migrant Caravan Headed To Border  #MillennialMillie #MAGA #UpNext [Video] https://t.co/17xTpq2Td4 https://t.co/Dc6699vW9l"
226,"@r_softly @4L4RM1NG @misanthropemime @JenaFriedman @Forbes He said we need to build ""proper facilities"" i.e. homele… https://t.co/hZS9pvsqM3"
227,Official Poll: Should the Migrant Caravan be Treated as an Invasion of the US? https://t.co/Jc02Sc618f
228,"Miraculously, the invading migrant caravan of infants has suddenly dispersed.   #MuellerReport"
229,The unseen driver behind the migrant caravan: climate change #ClimateCatastrophe #ClimateChange https://t.co/UZ9HIu5Tha
230,@SouthernDem_3 @CassandraRules @BulletinAtomic https://t.co/w1xFJJmkBr
231,“The main reason people are moving is because they don’t have anything to eat. This has a strong link to climate ch… https://t.co/BzIcmS1aSI
232,Feds Used a Secret Database to Track Journalists Covering the Migrant Caravan: Reason Roundup - Reason -… https://t.co/oOuZjLMqYM
233,Migrant caravan is 'highly organized': Filmmaker Ami Horowitz
234,Who is providing support to migrant caravan seeking asylum? https://t.co/diYFCI42IF via @YouTube
235,"Media Burying TB, Hepatitis, HIV, Dangerous Diseases Brought in by 'Migrant Caravan' https://t.co/cezC8QbCfq via @PoliticsIsDirty"
236,"Illegals Storm Mexico's Southern Border, Jump Fence To Join Migrant Caravan https://t.co/RmSx5iG4Xp via @PoliticsIsDirty"
237,"Funny how they have money to pay cartels thousands, citizens of Mexico to give them rides, etc. But when they get t… https://t.co/CfLJYAmXi8"
238,"(BREAKING NEWS MIGRANT CARAVAN , Who’s funding the migrant caravans?) has been published on Cyprium News -… https://t.co/3f0jQ6wG99"
239,"@BibleBeltDarlin Angry Mexican Citizens March AGAINST Migrant Caravan: ‘This Is an Invasion,’ ‘Trump Is Right!’
https://t.co/bXiDGkRkcS"
240,"Illegals Storm Mexico's Southern Border, Jump Fence To Join Migrant Caravan; Cuban &amp; Africans Get Violent w/Mexican… https://t.co/aue7j2R77r"
241,#TheGracies award for Interview Feature - Non-Commercial Local goes to @KQED's Waiting in Pinole: A Mother's and So… https://t.co/pnh9GXKhIW
242,"""Migrant caravan reaches Mexican border""  https://t.co/FOPrx3zcl5 yep Nancy Pelosi says no crisis at the border.… https://t.co/hdJpSiW4AG"
243,Something tells me the largest and most dangerous migrant caravan to date is about to head north within the next 24… https://t.co/sbGzrkqgJh
244,Mike Pence: Migrant caravan was financed in part by Venezuela https://t.co/r1Ge2Xh7j5 via @YouTube
245,Migrant caravan is 'highly organized': Filmmaker Ami Horowitz https://t.co/ohDQFKrzoz via @YouTube
246,Who is providing support to migrant caravan https://t.co/LjDRpzXOlU via @YouTube
247,Who is providing support to migrant caravan seeking asylum? https://t.co/LjDRpzXOlU via @YouTube
248,"#Mexico works to deter new #migrantcaravan heading north to #USborder
https://t.co/92zDzhRvdc"
249,Low IQ so-called Messiah thinks the way to act like a king is to wash the feet of his Middle Eastern criminal migra… https://t.co/UEcP1XBlZ9
250,"So, Mexico is deporting Cubans on their way to the US because they have a tendency to vote Republican??

While shut… https://t.co/6YPXPjpcdy"
251,"Kylie Zarmati MAIS ’20 was following the news of the migrant caravan, when she f… https://t.co/5Pm8HRKCDu https://t.co/XhCn4AEqvV"
252,"Every day we’d hear new falsehoods and fear mongering.

He said they were “stone cold criminals” and the new head o… https://t.co/A4Pj9XXbBj"
253,Migrant caravan: Angry protests in Mexico's Tijuana - BBC News https://t.co/XJ8Llx1dPP via @YouTube
254,A.G. backs administration’s move to deny bond to asylum seekers https://t.co/ceUcmzJGN8 https://t.co/hQqnKyWWNK
255,Mexico works to deter new migrant caravan heading north to U.S. border | One America News Network https://t.co/FDwhuS732v
256,Read this if you don't understand what we're dealing with here. These people think they have a right to come here.… https://t.co/Rqog3kzAVC
257,Mexico works to deter new migrant caravan heading north to US border
258,"A man was arrested at St. Patrick's cathedral in NYC with 4 gallons of gasoline, two bottles of lighter fluid and l… https://t.co/99VffBZDVH"
259,https://t.co/T8mRwdOXbg
260,"@CBSNews Angry Mexican Citizens March AGAINST Migrant Caravan: ‘This Is an Invasion,’ ‘Trump Is Right!’
https://t.co/bXiDGkRkcS"
261,Heroic Mexicans Defend US from Invading Migrant Caravan https://t.co/Jk605g3McY via
262,Arizina call state of emergency for incoming caravan of migrants  https://t.co/T2AJEkLkSP
