,0
115,".#ACLU: #MilitiaGroups Are #Kidnapping Migrants At Gunpoint At #US-#Mexico #Border
https://t.co/48saowLUsP… https://t.co/TuV19WYK2L"
116,"https://t.co/mVwBTtLXQW

Right Wing Militias Detain Migrants at Border"
117,One of the Deadliest Places on the Southwest Border https://t.co/mxrckUNO5o
118,New Mexico militia group detains migrants at the border - CNN https://t.co/XmVHgg4Mgy
119,"We are now a lawless country run by vigilantes and militia.

New Mexico militia group detains migrants at the borde… https://t.co/98v0oRkd0W"
120,"“If these people follow our verbal commands, we hold them until Border Patrol comes. Border Patrol has never asked… https://t.co/x149TcagUx"
121,@StateDRL @IRF_Ambassador Why US dept is so concerned about Chinese matter it's their country they are taking utmos… https://t.co/8qJYMCEnC6
122,"Border patrol does not sanction, but border patrol love these Patriots for detaining these illegals criminals.

NO… https://t.co/yTA6TZJ0oS"
123,New Mexico militia detains migrants at gunpoint until Border Patrol arrives: report https://t.co/jR3Z6hjWAr #FoxNews
124,"Obama border patrol chief: Citizens patrolling US, Mexico border very dangerous  https://t.co/v37rRw6oS0… https://t.co/vrnyT0lcI7"
125,"👏👏👏
New Mexico militia detains migrants at gunpoint until Border Patrol arrives: report

https://t.co/NMW1bz5LUG"
126,"Dear Democrats,
Here is a story you should read.
When you say you want to take guns away from the people, this is w… https://t.co/iNoUgRs6LW"
127,"New Mexico militia group is detaining migrants at the border, report says - CNN  https://t.co/YUo1iRXguw"
128,"This is terrifying. A group of men, mostly ex-military, called 'United Constitutional Patriots' (UCP) have ILLEGALL… https://t.co/UQJKf5VV16"
129,New Mexico militia group detains migrants at the border - CNN https://t.co/IinUYiQrO8
130,"“A well regulated Militia, being necessary to the security of a free State ..... “

New Mexico militia detains migr… https://t.co/hkmqTDwd38"
131,The American Civil Liberties Union of New Mexico contends a migrant group was held at gunpoint until the… https://t.co/baxLBzb0Op
132,"/ / / / /
this is fucking disgusting tell these hicks and their “militia” to go back to texas . this is new MEXICO.… https://t.co/3djdrAqot7"
133,Podcasts To Better Understand The US/Mexico Border. https://t.co/Euyy5qTfAo https://t.co/Y5k1IPptTW
134,"Great news, someone is actually working to slow the flow.
 How do we encourage thousands more American Patriots to… https://t.co/DWzt9u5EZl"
135,Media playback is unsupported on your device Media captionFive numbers that explain US border crisis A video has em… https://t.co/6XKdfPftgE
136,Videos appear to show armed militia detaining migrants at US-Mexico border #BrownShirts https://t.co/5csix2r1qs
137,“[The militia spokesperson] said the organization plans to remain on the border until the extended wall proposed by… https://t.co/usrSQEVlNs
138,Videos appear to show armed militia detaining migrants at US-Mexico border https://t.co/LJjMWVQTJ5
